SRR3123400,honeybee_2days_drone_rep1
SRR3123402,honeybee_2days_drone_rep2
SRR3123404,honeybee_2days_drone_rep3
SRR3123406,honeybee_2days_drone_rep4
SRR3123407,honeybee_2days_drone_rep5
SRR3123408,honeybee_2days_drone_rep6
SRR3123372,honeybee_4days_queen_rep1
SRR3123380,honeybee_4days_queen_rep2
SRR3123385,honeybee_4days_queen_rep3
SRR3123388,honeybee_4days_queen_rep4
SRR3123389,honeybee_4days_queen_rep5
SRR3123390,honeybee_4days_queen_rep6
SRR3123355,honeybee_2days_queen_rep1
SRR3123357,honeybee_2days_queen_rep2
SRR3123359,honeybee_2days_queen_rep3
SRR3123361,honeybee_2days_queen_rep4
SRR3123362,honeybee_2days_queen_rep5
SRR3123364,honeybee_2days_queen_rep6
SRR3123279,honeybee_4days_worker_rep1
SRR3123281,honeybee_4days_worker_rep2
SRR3123337,honeybee_4days_worker_rep3
SRR3123340,honeybee_4days_worker_rep4
SRR3123341,honeybee_4days_worker_rep5
SRR3123342,honeybee_4days_worker_rep6
SRR3102934,honeybee_2days_worker_rep1
SRR3123272,honeybee_2days_worker_rep2
SRR3123273,honeybee_2days_worker_rep3
SRR3123275,honeybee_2days_worker_rep4
SRR3123276,honeybee_2days_worker_rep5
SRR3123277,honeybee_2days_worker_rep6
